energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.631,0.331,157.963,0.0372,0.00798,0.0753,3,0.636,6,176062,-6.824,0.345,0,audio_features,spotify:track:5zNP5wF5xqzZZj2U1XKXTx
0.47,0.102,147.172,0.029,0.282,0.000258,3,0.319,1,411816,-7.168,0.26,0,audio_features,spotify:track:4jwns1dt0ZdmMB05sxMzmO
0.544,0.145,137.455,0.0286,0.0708,0.246,4,0.377,6,311253,-6.002,0.205,1,audio_features,spotify:track:36nnDyLNwWGEzqAO8UnZVy
0.823,0.492,93.504,0.097,0.0029,0.00017,4,0.561,2,200760,-4.851,0.525,1,audio_features,spotify:track:2xSC2Tvr2I44VZmCXg60dW
0.882,0.0555,109.999,0.0666,0.00152,0.23,4,0.454,0,296000,-5.953,0.106,0,audio_features,spotify:track:1dZuv88DWCFuG09Dfr0wfO
0.649,0.216,121.16,0.0345,0.172,0.0,4,0.39,2,299760,-5.163,0.144,1,audio_features,spotify:track:6lEuFGrUqR9Yc6hSsHPnYP
0.915,0.0625,119.968,0.064,0.000509,0.0241,4,0.476,8,198074,-6.468,0.306,1,audio_features,spotify:track:710xvqBINcJIqME6cFmSkv
0.688,0.0706,182.279,0.0337,0.00135,4.93e-05,4,0.264,9,284183,-5.888,0.164,0,audio_features,spotify:track:3iseWtGohHOwOofs5s4X11
0.974,0.066,160.006,0.0861,0.000256,0.0,3,0.348,9,265298,-3.379,0.29,0,audio_features,spotify:track:7nGc6tq27wHwpF7iFdUaWr
0.816,0.157,172.827,0.0662,0.00252,4.46e-06,3,0.129,5,273642,-4.345,0.0745,1,audio_features,spotify:track:2iGUUfjP0AH4fcT492dHZi
0.702,0.0878,78.06,0.0311,0.0525,0.0489,4,0.518,1,274528,-7.569,0.444,0,audio_features,spotify:track:3TH7RJjCUIFQKCn1RN5FZk
0.753,0.448,148.326,0.0412,0.0161,0.00307,4,0.519,4,232371,-5.334,0.316,1,audio_features,spotify:track:7G3qJ7hyjP9Tsx1pGlvy0q
0.365,0.197,139.006,0.0284,0.74,0.418,4,0.633,5,166663,-11.368,0.352,0,audio_features,spotify:track:0D3XIhHHmRDBtT1JgNxp1J
0.953,0.379,109.955,0.0714,0.000203,0.874,4,0.435,5,228460,-6.098,0.232,1,audio_features,spotify:track:2SHIKOcEz7Oy85nSwV8FAZ
0.452,0.0968,81.578,0.0595,0.35,2.92e-05,1,0.241,9,291349,-9.446,0.0716,0,audio_features,spotify:track:1vU4X8ffq8oNcvvqkgTEXm
0.388,0.139,137.848,0.0363,0.108,0.0687,3,0.451,9,202573,-14.048,0.127,0,audio_features,spotify:track:0knAHKgoYTNdA6rJTvc4sg
0.794,0.286,76.056,0.0749,0.000184,3.1e-05,4,0.303,9,277500,-7.79,0.228,1,audio_features,spotify:track:1r5zroQlz3wOrKZloVZ6HM
0.929,0.0992,166.022,0.12,0.000242,0.849,3,0.41,9,344819,-6.678,0.301,0,audio_features,spotify:track:6UaJl6pviKh1J4pAk0GqkL
0.924,0.0879,119.897,0.0489,0.000266,0.857,4,0.488,8,323000,-8.514,0.103,0,audio_features,spotify:track:3qagnvcNAsQARQw2NWJAc5
0.364,0.0762,120.097,0.0385,0.0131,0.797,4,0.19,2,227416,-11.515,0.128,0,audio_features,spotify:track:3ffEo8HSxnAo52enyn8yvG
0.307,0.112,150.017,0.0482,0.941,0.906,4,0.725,6,119381,-12.204,0.213,0,audio_features,spotify:track:72OHsLuIp6IhAIa84QnbWA
0.437,0.116,140.491,0.0391,0.913,0.901,3,0.533,7,232245,-14.25,0.23,1,audio_features,spotify:track:1O6Nh2WvqKtH0uIkUuHTP3
0.895,0.142,119.879,0.0376,0.221,0.619,4,0.582,0,130000,-7.989,0.566,1,audio_features,spotify:track:4XFsvrZQofb2yvO3d0PCsJ
0.963,0.223,145.053,0.0818,1.3e-05,0.000131,4,0.516,10,157284,-3.507,0.368,1,audio_features,spotify:track:3sIIjl9dfTGXIIfTZYaAV7
0.456,0.133,120.956,0.0438,0.0679,0.306,4,0.274,9,239547,-7.369,0.0783,1,audio_features,spotify:track:7BJny7nQN5bY4EeGVU3kj6
0.741,0.3,120.247,0.0321,0.248,7.68e-05,3,0.515,7,215635,-3.909,0.339,1,audio_features,spotify:track:1sMEsftN98Ui2ZwowEDF8l
0.914,0.355,153.849,0.0752,0.00561,0.0,4,0.452,0,188961,-1.989,0.679,1,audio_features,spotify:track:6tNqsilu8k4U6tG8JXOxtV
0.98,0.0958,106.628,0.227,0.000554,0.000855,4,0.22,10,205000,-3.763,0.386,1,audio_features,spotify:track:39ntKFgozwmpv4ztTFsWYJ
0.893,0.124,87.49,0.104,0.000471,1.57e-06,4,0.205,8,345875,-7.148,0.227,0,audio_features,spotify:track:6raCMfqPhpuqlEJKcjc9JB
0.968,0.079,145.827,0.18,0.00258,0.0,4,0.452,0,234000,-3.827,0.303,0,audio_features,spotify:track:6Cg4Ho5oA2SmeHyc6ycq5v
0.92,0.0433,95.248,0.0909,0.000102,0.0,4,0.262,10,236250,-5.681,0.199,0,audio_features,spotify:track:5PthLYUBRO8FwASn8CgZPn
0.976,0.0954,127.957,0.132,0.000144,0.0,4,0.475,10,219000,-3.655,0.537,0,audio_features,spotify:track:17hVI1uwYFUTLCi7zEgqd1
0.692,0.162,126.845,0.075,0.00046,0.896,4,0.661,10,142520,-5.557,0.0595,1,audio_features,spotify:track:1dr9fQuYZ6NtGuVqdMOTw1
0.0384,0.107,121.894,0.0461,0.168,0.00412,4,0.295,8,630373,-8.102,0.0784,1,audio_features,spotify:track:6sS8NSzylo8IFUfD3NfpL7
0.869,0.146,135.952,0.049,0.632,0.00156,4,0.569,4,251999,-4.525,0.415,1,audio_features,spotify:track:3L7Dv2T8DwO0E1kuFbJygq
0.623,0.635,61.089,0.0391,0.269,0.0,4,0.501,8,273080,-6.211,0.322,0,audio_features,spotify:track:0kjENFsuwLGWkGYThzQDbJ
0.591,0.0833,137.888,0.029,5.8e-05,0.0511,4,0.379,10,267933,-7.97,0.18,1,audio_features,spotify:track:7EKdDEO8osfAaKaqv2ZYir
0.913,0.109,158.009,0.0644,0.0139,0.15,4,0.482,6,258200,-5.557,0.677,0,audio_features,spotify:track:0OXG9C3DUm6a7EINTIgaJ8
0.299,0.296,143.703,0.0302,0.903,0.0367,4,0.361,6,183773,-12.404,0.247,1,audio_features,spotify:track:2wZK3G68ndzIB1m0k8vMvq
0.905,0.285,136.987,0.0707,0.0696,0.00566,4,0.445,11,246987,-5.264,0.268,1,audio_features,spotify:track:2oU7f290U8riLM0ZVqhIzG
0.361,0.172,103.994,0.0508,0.142,0.0438,4,0.764,10,148846,-8.895,0.557,0,audio_features,spotify:track:7ji2OLWZkTf9yIldbMRATK
0.662,0.205,139.902,0.119,0.0183,0.043,4,0.608,9,170147,-4.225,0.0951,1,audio_features,spotify:track:1Q2fr6WrIN6QVNoKM6wb4f
0.487,0.226,99.997,0.131,0.196,2.24e-05,4,0.798,5,196800,-9.819,0.655,1,audio_features,spotify:track:0t4GpyTkWziMwMYfdnu1Ln
0.759,0.0999,92.07,0.164,0.892,0.802,4,0.554,11,186875,-8.277,0.0388,1,audio_features,spotify:track:6i4EnLC2vUgww1BotS8xRs
